subdet,layer,waferu,waferv,tc_eta,tc_phi
1,3,-5,-2,2.2041965,-0.41005346
1,3,-5,-1,2.153227,-0.18755394
1,3,-5,0,2.0723162,0.00331562
1,3,-5,1,1.9686137,0.15180817
1,3,-5,2,1.8522431,0.2836932
1,3,-5,3,1.7437545,0.3834851
1,3,-5,4,1.6464891,0.46096116
1,3,-5,5,1.5502342,0.52202153
1,3,-4,-10,1.5455605,-1.6906898
1,3,-4,-9,1.6414584,-1.6311301
1,3,-4,-8,1.7538694,-1.5738432
1,3,-4,-7,1.8811564,-1.4864632
1,3,-4,-6,2.0144546,-1.3792152
1,3,-4,-5,2.154541,-1.2414414
1,3,-4,-4,2.2861912,-1.045338
1,3,-4,-3,2.3916168,-0.80505574
1,3,-4,-2,2.4300568,-0.52213585
1,3,-4,-1,2.390067,-0.24419975
1,3,-4,0,2.2903416,0.000435683
1,3,-4,1,2.1537993,0.19003288
1,3,-4,2,2.0133805,0.33469608
1,3,-4,3,1.8819287,0.4378192
1,3,-4,4,1.7569048,0.52271855
1,3,-4,5,1.6460127,0.59271324
1,3,-4,6,1.5487596,0.6395367
1,3,-3,-10,1.538959,-1.794822
1,3,-3,-9,1.6292553,-1.7597016
1,3,-3,-8,1.75135,-1.713632
1,3,-3,-7,1.8817298,-1.6512998
1,3,-3,-6,2.0325952,-1.5686159
1,3,-3,-5,2.2066867,-1.4541599
1,3,-3,-4,2.388093,-1.2894825
1,3,-3,-3,2.5697794,-1.0476716
1,3,-3,-2,2.6910203,-0.71350515
1,3,-3,-1,2.6919801,-0.33363262
1,3,-3,0,2.569529,0.000622853
1,3,-3,1,2.3875833,0.24200007
1,3,-3,2,2.2059097,0.40752935
1,3,-3,3,2.0364819,0.5233498
1,3,-3,4,1.8797076,0.6030583
1,3,-3,5,1.7486566,0.6649106
1,3,-3,6,1.6340774,0.7148368
1,3,-3,7,1.537612,0.75367767
1,3,-2,-9,1.5993441,-1.8791221
1,3,-2,-8,1.7212178,-1.8517814
1,3,-2,-7,1.8509408,-1.8098216
1,3,-2,-6,2.0152373,-1.762952
1,3,-2,-5,2.2060905,-1.6896366
1,3,-2,-4,2.4271708,-1.5728271
1,3,-2,-3,2.6914933,-1.3804371
1,3,-2,-2,2.9462698,-1.0462681
1,3,-2,-1,3.0081332,-0.5226918
1,3,-2,0,2.9473426,-0.00267694
1,3,-2,1,2.691984,0.3344535
1,3,-2,2,2.4280446,0.5252745
1,3,-2,3,2.2023716,0.63759243
1,3,-2,4,2.0136764,0.71292144
1,3,-2,5,1.8546251,0.76713395
1,3,-2,6,1.7204914,0.8052242
1,3,-2,7,1.5978845,0.8345985
1,3,-1,-9,1.5719193,-1.9938421
1,3,-1,-8,1.674147,-1.9795499
1,3,-1,-7,1.809631,-1.9618238
1,3,-1,-6,1.9631183,-1.9370465
1,3,-1,-5,2.1565173,-1.9038135
1,3,-1,-4,2.3878813,-1.8503714
1,3,-1,-3,2.6923373,-1.760292
1,3,-1,-2,3.0181274,-1.5698597
1,3,-1,1,3.0180845,0.5255511
1,3,-1,2,2.692137,0.71318954
1,3,-1,3,2.389523,0.80323327
1,3,-1,4,2.155164,0.8552197
1,3,-1,5,1.9719191,0.8927811
1,3,-1,6,1.8071872,0.91697246
1,3,-1,7,1.6758083,0.931767
1,3,-1,8,1.5635476,0.94612515
1,3,0,-8,1.6230255,-2.0896406
1,3,0,-7,1.7457731,-2.0971117
1,3,0,-6,1.8982688,-2.0970042
1,3,0,-5,2.0665936,-2.0927992
1,3,0,-4,2.2850604,-2.0931656
1,3,0,-3,2.5683992,-2.0945354
1,3,0,-2,2.944818,-2.0950797
1,3,0,2,2.9448638,1.0469424
1,3,0,3,2.5681813,1.0478134
1,3,0,4,2.2868884,1.0472144
1,3,0,5,2.0696337,1.0481602
1,3,0,6,1.8931621,1.05137
1,3,0,7,1.7496543,1.0461748
1,3,0,8,1.6231824,1.0490649
1,3,1,-8,1.5649128,-2.1956315
1,3,1,-7,1.675804,-2.2120023
1,3,1,-6,1.8108543,-2.2264342
1,3,1,-5,1.9658493,-2.24909
1,3,1,-4,2.1554492,-2.284348
1,3,1,-3,2.3876288,-2.3363907
1,3,1,-2,2.6921237,-2.4279041
